ending,frequency,probability
सका,682,0.0005157301476031782
कराएगी,104,7.864506649667233e-05
करेगी,2911,0.002201305659344357
दीं,525,0.0003970063452957017
मानी,76,5.7471394747568244e-05
बनाए,425,0.00032138608904890134
दिखे,549,0.0004151552067949337
बनी,271,0.00020493089442882886
बातें,87,6.578962293471628e-05
ये,60,4.537215374808019e-05
निकलीं,46,3.4785317873528145e-05
निकला,428,0.00032365469673630536
जैनी,1,7.562025624680032e-07
सुनाई,435,0.00032894811467358136
मास्टरमाइंड,3,2.2686076874040095e-06
मुनीर,1,7.562025624680032e-07
मारीं,28,2.1173671749104088e-05
प्रापर्टी,1,7.562025624680032e-07
बची,24,1.8148861499232076e-05
मांगी,208,0.00015729013299334467
वजह,123,9.301291518356439e-05
बना,172,0.00013006684074449653
काटूंगा,11,8.318228187148034e-06
जाऊंगा,131,9.906253568330842e-05
घूमे,25,1.890506406170008e-05
कहलाया,25,1.890506406170008e-05
रहती,42,3.176050762365614e-05
चाह,15,1.1343038437020048e-05
को,245,0.00018526962780466077
निवारण,1,7.562025624680032e-07
आरती,1,7.562025624680032e-07
सकूं,56,4.2347343498208176e-05
आएंगी,1343,0.0010155800413945283
पी.डब्ल्यू,1,7.562025624680032e-07
हुईं,649,0.000490775463041734
रखेंगे,304,0.00022988557899027297
जेंटलमैन,1,7.562025624680032e-07
डाली,509,0.0003849071042962136
हों,944,0.000713855218969795
बुलाया,460,0.0003478531787352815
का,849,0.0006420159755353347
जानबूझकर,1,7.562025624680032e-07
कहता,12,9.074430749616038e-06
आता,195,0.00014745949968126063
करनेवाला,1,7.562025624680032e-07
शादी,68,5.1421774247824214e-05
कपूर,88,6.654582549718427e-05
चुना,289,0.0002185425405532529
होती,512,0.00038717571198361764
पाईं,150,0.00011343038437020048
कहेंगे,97,7.33516485593963e-05
समझा,122,9.225671262109639e-05
ढके,1,7.562025624680032e-07
लहर,1,7.562025624680032e-07
रखें,695,0.0005255607809152623
भर,1,7.562025624680032e-07
खेलें,14,1.0586835874552044e-05
अंश,66,4.990936912288821e-05
लेगा,354,0.00026769570711367315
लीजिए,336,0.0002540840609892491
न,98,7.410785112186431e-05
उपहास,1,7.562025624680032e-07
उठाएगी,160,0.0001209924099948805
बताई,606,0.0004582587528556099
तैयारी,28,2.1173671749104088e-05
रहेगी,919,0.0006949501549080949
गईं,1629,0.0012318539742603772
होना,88,6.654582549718427e-05
कथा,7,5.293417937276022e-06
दूर,13,9.830633312084042e-06
जाना,106,8.015747162160834e-05
बदलना,1,7.562025624680032e-07
सेन,1,7.562025624680032e-07
जायेंगे,73,5.520278706016423e-05
आपकी..,1,7.562025624680032e-07
पाता,197,0.00014897190480619662
जाएगी..,4,3.024810249872013e-06
जताया,293,0.00022156735080312493
बनाई,410,0.0003100430506118813
बोलेंगे,79,5.974000243497225e-05
कि..,25,1.890506406170008e-05
कैंची,3,2.2686076874040095e-06
...सेंसर..,1,7.562025624680032e-07
सेंसर..,1,7.562025624680032e-07
बोली,4,3.024810249872013e-06
करनी,1,7.562025624680032e-07
ने..,15,1.1343038437020048e-05
आएगा,996,0.0007531777522181312
करिए,59,4.461595118561219e-05
उठाएं,50,3.781012812340016e-05
सकते,1002,0.0007577149675929392
पिया,8,6.049620499744026e-06
मारेगा,35,2.646708968638011e-05
स्टेशन..,1,7.562025624680032e-07
करेगा..,1,7.562025624680032e-07
एक्सप्रेस,1,7.562025624680032e-07
कीजो,1,7.562025624680032e-07
चाहते,294,0.00022232355336559292
करूंगी,103,7.788886393420432e-05
वीडियो,42,3.176050762365614e-05
सुनायेगी,1,7.562025624680032e-07
रहें,664,0.0005021185014787541
करना,248,0.0001875382354920648
डरें,14,1.0586835874552044e-05
सुनें,44,3.327291274859214e-05
सिल्क,1,7.562025624680032e-07
जे.जे,19,1.4367848686892061e-05
पी.के,11,8.318228187148034e-06
चलाएगी,16,1.2099240999488051e-05
बचे,41,3.100430506118813e-05
पाया,651,0.0004922878681666701
सुनाएगी,58,4.385974862314418e-05
कविताएं..,1,7.562025624680032e-07
कविताएं...,1,7.562025624680032e-07
उभरीं,1,7.562025624680032e-07
पहुंचाना,33,2.4954684561444106e-05
रात,12,9.074430749616038e-06
अवदात,1,7.562025624680032e-07
बी.ए,23,1.7392658936764072e-05
एम.ए,8,6.049620499744026e-06
रहेगा,1828,0.0013823382841915098
चला,459,0.00034709697617281345
दूरियां,1,7.562025624680032e-07
चाहेंगे,177,0.00013384785355683657
आएं,179,0.00013536025868177257
करे,1186,0.0008968562390870517
पाएंगे,1140,0.0008620709212135236
दूंगा,228,0.00017241418424270472
देखें,201,0.00015199671505606864
पहुंची,1080,0.0008166987674654434
चाहता,249,0.0001882944380545328
बरसे,30,2.2686076874040095e-05
बोला,633,0.000478676222042246
जताई,329,0.00024879064305197303
दिन,56,4.2347343498208176e-05
लेंगे,1211,0.0009157613031487518
दिखाए,140,0.00010586835874552044
डा,116,8.771949724628837e-05
उठता,55,4.159114093574017e-05
शूटिंग,22,1.663645637429607e-05
बचा,36,2.7223292248848114e-05
रिंग,2,1.5124051249360064e-06
निकालेंगे,43,3.2516710186124134e-05
आमिर,2,1.5124051249360064e-06
हटाएं,21,1.588025381182807e-05
आर.के,50,3.781012812340016e-05
बस,65,4.915316656042021e-05
सिंह,157,0.0001187238023074765
कहानी,108,8.166987674654435e-05
दिखाई,227,0.00017165798168023672
हैरान,2,1.5124051249360064e-06
साथी,10,7.5620256246800315e-06
बनूंगा,2,1.5124051249360064e-06
दीवाना..,2,1.5124051249360064e-06
लगेगा,626,0.00047338280410497
लगेंगे,252,0.0001905630457419368
पाएगा,405,0.0003062620377995413
सराहें,2,1.5124051249360064e-06
तो..,47,3.554152043599615e-05
रुकीं,11,8.318228187148034e-06
नहीं.,10,7.5620256246800315e-06
गए..,15,1.1343038437020048e-05
जगाया,30,2.2686076874040095e-05
मुंडे,2,1.5124051249360064e-06
हैं...,39,2.9491899936252126e-05
आतीं,11,8.318228187148034e-06
वो..,4,3.024810249872013e-06
खरीदें,6,4.537215374808019e-06
संस्था,10,7.5620256246800315e-06
इग्नोर,2,1.5124051249360064e-06
चलीं,54,4.0834938373272175e-05
याद,5,3.7810128123400157e-06
खेलूंगा,19,1.4367848686892061e-05
रखें...,2,1.5124051249360064e-06
प्लांट,2,1.5124051249360064e-06
जलाएं,42,3.176050762365614e-05
रखी,586,0.00044313470160624985
रखीं,61,4.6128356310548194e-05
करो,248,0.0001875382354920648
बैठता,8,6.049620499744026e-06
देता,212,0.00016031494324321668
डरते,24,1.8148861499232076e-05
डर,62,4.68845588730162e-05
थमा,45,3.402911531106014e-05
डाले,204,0.00015426532274347265
कैसे,117,8.847569980875638e-05
जाते,291,0.00022005494567818893
सुना,107,8.091367418407634e-05
लगीं,279,0.0002109805149285729
नवाजा,10,7.5620256246800315e-06
गाई,2,1.5124051249360064e-06
कराई,681,0.0005149739450407101
रहना,46,3.4785317873528145e-05
लौटीं,20,1.5124051249360063e-05
गाया,64,4.8396963997952206e-05
रुका,19,1.4367848686892061e-05
फटकारा,14,1.0586835874552044e-05
सौंपे,31,2.34422794365081e-05
करवाएंगे,38,2.8735697373784122e-05
कहलाएगा,2,1.5124051249360064e-06
भाईचारा,2,1.5124051249360064e-06
पहुंचाए,49,3.7053925560932156e-05
बटोरीं,19,1.4367848686892061e-05
होगें,70,5.293417937276022e-05
कीं,285,0.0002155177303033809
अंत,2,1.5124051249360064e-06
किनारे,2,1.5124051249360064e-06
तोहफा,15,1.1343038437020048e-05
कवर,2,1.5124051249360064e-06
देने,2,1.5124051249360064e-06
भेजेगा,34,2.5710887123912107e-05
सकेगी,354,0.00026769570711367315
राजनीति,24,1.8148861499232076e-05
बोर्ड,2,1.5124051249360064e-06
मिलता,147,0.00011116177668279646
सुहाया,2,1.5124051249360064e-06
पहलू,2,1.5124051249360064e-06
पाए,844,0.0006382349627229946
प्यारे..,2,1.5124051249360064e-06
टब,2,1.5124051249360064e-06
सर्विसेज,2,1.5124051249360064e-06
भरेंगे,38,2.8735697373784122e-05
सी,52,3.932253324833617e-05
पुलिस..,2,1.5124051249360064e-06
शिकार,16,1.2099240999488051e-05
खींचा,25,1.890506406170008e-05
नारे,17,1.2855443561956053e-05
मचा,5,3.7810128123400157e-06
चाहूंगा,57,4.310354606067618e-05
घटी,93,7.03268383095243e-05
एग्रेसिव,2,1.5124051249360064e-06
सटीक,2,1.5124051249360064e-06
होते,355,0.0002684519096761411
दिखाईं,2,1.5124051249360064e-06
जी,216,0.0001633397534930887
कमाए,149,0.00011267418180773247
उठाएगा,46,3.4785317873528145e-05
मारा,415,0.0003138240634242213
पाएगी..,8,6.049620499744026e-06
सौंपा,143,0.00010813696643292446
अपनाया,40,3.0248102498720126e-05
स्ट्रेट,2,1.5124051249360064e-06
अच्छा,9,6.805823062212029e-06
साथ,298,0.00022534836361546494
रुपए,3,2.2686076874040095e-06
किडनैपिंग,2,1.5124051249360064e-06
लिखवाई,2,1.5124051249360064e-06
उठा,230,0.00017392658936764074
बदलेगा,4,3.024810249872013e-06
बचीं,2,1.5124051249360064e-06
दान,4,3.024810249872013e-06
वायरल,6,4.537215374808019e-06
खास..,14,1.0586835874552044e-05
लगेगी,228,0.00017241418424270472
चाहेगा,84,6.352101524731227e-05
करती,120,9.074430749616038e-05
बैन,19,1.4367848686892061e-05
टकराएंटी,2,1.5124051249360064e-06
बनाइये,2,1.5124051249360064e-06
घटिया,2,1.5124051249360064e-06
पगला.,2,1.5124051249360064e-06
पगला..,2,1.5124051249360064e-06
दिखेंगे,317,0.00023971621230235702
किसान,3,2.2686076874040095e-06
ठहरा,20,1.5124051249360063e-05
पूछे,113,8.545088955888436e-05
मुस्लिम,15,1.1343038437020048e-05
सोचता,20,1.5124051249360063e-05
वाला,182,0.00013762886636917659
समर्थन,13,9.830633312084042e-06
जीतेगा,31,2.34422794365081e-05
चाहती,176,0.00013309165099436855
मामला,8,6.049620499744026e-06
बीजेपी,31,2.34422794365081e-05
पहुंचाएंगे,52,3.932253324833617e-05
मांगेगी,40,3.0248102498720126e-05
भारत,31,2.34422794365081e-05
हुई..,2,1.5124051249360064e-06
खोला,58,4.385974862314418e-05
काश,6,4.537215374808019e-06
पटेल,19,1.4367848686892061e-05
फेंकू...फेंकू..,2,1.5124051249360064e-06
उठे,109,8.242607930901235e-05
हटेंगे,27,2.0417469186636087e-05
बरसीं,11,8.318228187148034e-06
सकतीं,90,6.805823062212028e-05
बनाओ,20,1.5124051249360063e-05
जातीं,11,8.318228187148034e-06
लगती,69,5.217797681029222e-05
शरीफ,2,1.5124051249360064e-06
ढूंढा,3,2.2686076874040095e-06
जीता,258,0.00019510026111674482
गयी,305,0.00023064178155274097
दिखीं,184,0.00013914127149411258
रखेगी,99,7.486405368433231e-05
जताएंगे,12,9.074430749616038e-06
गिरी,150,0.00011343038437020048
उठाए,269,0.00020341848930389286
पूछा,253,0.0001913192483044048
दिक्कतें,6,4.537215374808019e-06
बनाएं,114,8.620709212135236e-05
डलवाएं,10,7.5620256246800315e-06
रोका,51,3.8566330685868164e-05
रुकी,37,2.7979494811316118e-05
जिला,6,4.537215374808019e-06
परेशान,15,1.1343038437020048e-05
खुर्द,3,2.2686076874040095e-06
वजह.,3,2.2686076874040095e-06
मुआवजा,3,2.2686076874040095e-06
प्रावधान,15,1.1343038437020048e-05
हूं..,30,2.2686076874040095e-05
हराया,296,0.00022383595849052894
आऊंगी,11,8.318228187148034e-06
जरुर,3,2.2686076874040095e-06
घुसे,44,3.327291274859214e-05
भागे,60,4.537215374808019e-05
भगाया,23,1.7392658936764072e-05
पोस्टर,3,2.2686076874040095e-06
आलिया,15,1.1343038437020048e-05
तैयार,11,8.318228187148034e-06
निभाएंगी,52,3.932253324833617e-05
रची,123,9.301291518356439e-05
माया,3,2.2686076874040095e-06
ढही,3,2.2686076874040095e-06
कारोबारी,3,2.2686076874040095e-06
जाये,75,5.671519218510024e-05
लिखे,38,2.8735697373784122e-05
बोलें,46,3.4785317873528145e-05
बोले,66,4.990936912288821e-05
नं,35,2.646708968638011e-05
घुमाया,32,2.4198481998976103e-05
चलेगी,198,0.00014972810736866462
कहने,3,2.2686076874040095e-06
दे,479,0.0003622210274221735
जीत,15,1.1343038437020048e-05
थकेंगे,13,9.830633312084042e-06
पहुचें,3,2.2686076874040095e-06
बजे,11,8.318228187148034e-06
भेजेंगे,8,6.049620499744026e-06
धवन,9,6.805823062212029e-06
बचें..,3,2.2686076874040095e-06
सोएं,26,1.9661266624168084e-05
पिएं,39,2.9491899936252126e-05
खाएं,65,4.915316656042021e-05
गूंजी,13,9.830633312084042e-06
दिखी,218,0.0001648521586180247
नहीं..,63,4.76407614354842e-05
सरोकार,3,2.2686076874040095e-06
पर्सेंट,3,2.2686076874040095e-06
लम्बी,3,2.2686076874040095e-06
जाऊं,49,3.7053925560932156e-05
मिस्टेक्स,3,2.2686076874040095e-06
नम्बर,3,2.2686076874040095e-06
गुजरे,5,3.7810128123400157e-06
कटती,3,2.2686076874040095e-06
पाती,77,5.822759731003625e-05
पूछती,3,2.2686076874040095e-06
लिखती,3,2.2686076874040095e-06
पता,175,0.00013233544843190055
देना,109,8.242607930901235e-05
लो,120,9.074430749616038e-05
तो,59,4.461595118561219e-05
जाओ,91,6.881443318458829e-05
बाली,3,2.2686076874040095e-06
सोनाली,3,2.2686076874040095e-06
छपेगा,3,2.2686076874040095e-06
कौन,154,0.0001164551946200725
पोल,30,2.2686076874040095e-05
बी,58,4.385974862314418e-05
मनाएंगे,92,6.957063574705629e-05
पूछो,3,2.2686076874040095e-06
चाहेगी,34,2.5710887123912107e-05
ध्यान..,28,2.1173671749104088e-05
बिछाएं,3,2.2686076874040095e-06
मांगे,57,4.310354606067618e-05
बहाएं,6,4.537215374808019e-06
सामने,27,2.0417469186636087e-05
कहीं,150,0.00011343038437020048
फहराएंगे,33,2.4954684561444106e-05
लौटा,33,2.4954684561444106e-05
शो,28,2.1173671749104088e-05
चटकाए,11,8.318228187148034e-06
खबरें..,38,2.8735697373784122e-05
जाइए,79,5.974000243497225e-05
दबोचा,210,0.00015880253811828066
खिलाएं,25,1.890506406170008e-05
मचाया,112,8.469468699641635e-05
लौटे,148,0.00011191797924526447
चाहिये,39,2.9491899936252126e-05
फंसे,14,1.0586835874552044e-05
दोहराई,64,4.8396963997952206e-05
गिरे,59,4.461595118561219e-05
रखतीं,3,2.2686076874040095e-06
सौगात,3,2.2686076874040095e-06
फैसला,46,3.4785317873528145e-05
जांच,12,9.074430749616038e-06
रिलीज,41,3.100430506118813e-05
इंच,3,2.2686076874040095e-06
टीजर,9,6.805823062212029e-06
,67,5.066557168535621e-05
आगे..,2,1.5124051249360064e-06
तुरंत,2,1.5124051249360064e-06
चूमें,2,1.5124051249360064e-06
जाऐंगे,2,1.5124051249360064e-06
पहुंचेंगे,257,0.00019434405855427682
पहनें,72,5.444658449769623e-05
ट्रांसपेरेंट,2,1.5124051249360064e-06
घरवाले,2,1.5124051249360064e-06
रखूंगी,27,2.0417469186636087e-05
सुनेगी,23,1.7392658936764072e-05
पहुंचेगी,117,8.847569980875638e-05
चाहा,25,1.890506406170008e-05
निभाएं,13,9.830633312084042e-06
सोचेगी,2,1.5124051249360064e-06
खबर,23,1.7392658936764072e-05
लुटायेगा,2,1.5124051249360064e-06
जाती,222,0.0001678769688678967
निकले,481,0.00036373343254710955
एन,133,0.00010057494080824442
सोचें,54,4.0834938373272175e-05
सिखाई,2,1.5124051249360064e-06
हिचकिचाते,6,4.537215374808019e-06
लोग,42,3.176050762365614e-05
दास्तां,4,3.024810249872013e-06
लिखा,154,0.0001164551946200725
करवाया,249,0.0001882944380545328
गौरा,2,1.5124051249360064e-06
बदला,93,7.03268383095243e-05
रोको,10,7.5620256246800315e-06
बांटा,27,2.0417469186636087e-05
दम,12,9.074430749616038e-06
पीटा,273,0.00020644329955376488
क्वीन..,2,1.5124051249360064e-06
लगें,53,4.007873581080417e-05
हारी,33,2.4954684561444106e-05
करतीं,115,8.696329468382037e-05
लेंगी,178,0.00013460405611930457
बताती,2,1.5124051249360064e-06
एस.एस,38,2.8735697373784122e-05
चली,358,0.00027072051736354514
खासियतें.,4,3.024810249872013e-06
किमी,124,9.37691177460324e-05
गुजरेगी,11,8.318228187148034e-06
स्टेशन,17,1.2855443561956053e-05
लें..,29,2.192987431157209e-05
सरकार,76,5.7471394747568244e-05
पर,369,0.0002790387455506932
मोर्चा,2,1.5124051249360064e-06
प्रो,197,0.00014897190480619662
भूलेंगे,16,1.2099240999488051e-05
लपके,11,8.318228187148034e-06
गिरेंगे,2,1.5124051249360064e-06
मुकरेंगे,2,1.5124051249360064e-06
पी,688,0.0005202673629779861
एल,47,3.554152043599615e-05
कप,5,3.7810128123400157e-06
सांत्वना,6,4.537215374808019e-06
माना,157,0.0001187238023074765
जी.एल,2,1.5124051249360064e-06
डी.जी,16,1.2099240999488051e-05
छीने,2,1.5124051249360064e-06
मिलवाया,52,3.932253324833617e-05
बैठे,201,0.00015199671505606864
थमाया,20,1.5124051249360063e-05
निभाया,82,6.200861012237627e-05
सिमटी,9,6.805823062212029e-06
खेली,138,0.00010435595362058443
झटका,2,1.5124051249360064e-06
झटके,56,4.2347343498208176e-05
चूके,24,1.8148861499232076e-05
ठोके,2,1.5124051249360064e-06
यादव,24,1.8148861499232076e-05
एंडरसन,2,1.5124051249360064e-06
मारें,2,1.5124051249360064e-06
पूजा..,12,9.074430749616038e-06
घोटाला,11,8.318228187148034e-06
सौंपी,114,8.620709212135236e-05
फिल्म,42,3.176050762365614e-05
मुस्कुराया,2,1.5124051249360064e-06
लगाम,2,1.5124051249360064e-06
नाेट,2,1.5124051249360064e-06
रुपया,2,1.5124051249360064e-06
पुलिस,40,3.0248102498720126e-05
एव्रीवन,2,1.5124051249360064e-06
ठहराएं,2,1.5124051249360064e-06
आभार,3,2.2686076874040095e-06
दिलाई,199,0.00015048430993113264
टकराई,19,1.4367848686892061e-05
रन,10,7.5620256246800315e-06
बुलवाया,20,1.5124051249360063e-05
झंझट,3,2.2686076874040095e-06
जरिये,3,2.2686076874040095e-06
तौला,3,2.2686076874040095e-06
मनाया,217,0.0001640959560555567
लाडले,3,2.2686076874040095e-06
लगते,7,5.293417937276022e-06
शर्मा,22,1.663645637429607e-05
जानते,75,5.671519218510024e-05
मांगेंगी,3,2.2686076874040095e-06
करेगें,16,1.2099240999488051e-05
मांगूंगी,21,1.588025381182807e-05
उतरेंगे,131,9.906253568330842e-05
निकली,311,0.00023517899692754898
ठहरिए,7,5.293417937276022e-06
गये,263,0.00019888127392908483
कार..,3,2.2686076874040095e-06
देते,197,0.00014897190480619662
गाए,18,1.3611646124424057e-05
खींचना,3,2.2686076874040095e-06
समझते,12,9.074430749616038e-06
डिटेल्स,13,9.830633312084042e-06
किरदार,3,2.2686076874040095e-06
समरसता,3,2.2686076874040095e-06
मैसेज,6,4.537215374808019e-06
हकीकत,3,2.2686076874040095e-06
आरोप,60,4.537215374808019e-05
गए...,3,2.2686076874040095e-06
थी..,61,4.6128356310548194e-05
पेरम्बरा,3,2.2686076874040095e-06
के.बी,3,2.2686076874040095e-06
के.पी,34,2.5710887123912107e-05
ओ,99,7.486405368433231e-05
जीती,54,4.0834938373272175e-05
एम,98,7.410785112186431e-05
ए.एन,18,1.3611646124424057e-05
वी.के,7,5.293417937276022e-06
मोदी,50,3.781012812340016e-05
जेटली,3,2.2686076874040095e-06
मुखर्जी,6,4.537215374808019e-06
जाता,457,0.00034558457104787746
सम्मान,19,1.4367848686892061e-05
प्यार,42,3.176050762365614e-05
निकाली,174,0.00013157924586943256
दीजिए,378,0.0002858445686129052
फरमान,6,4.537215374808019e-06
बताएंगी,14,1.0586835874552044e-05
खटखटाया,55,4.159114093574017e-05
उठी,99,7.486405368433231e-05
